Name,TotalOccurrences,AlwaysUsed
"  newAssertionError  ",3,False
"  assertNotEmpty  ",7,False
"  should_throw_error_when_no_property_nor_public_field_match_given_name  ",1,False
"  should_throw_error_if_array_is_null  ",1,False
"  setMaxElementsForPrinting  ",4,False
"  expectIntrospectionError  ",2,False
"  isFalse  ",7,False
"  representation  ",120,True
"  should_create_error_message  ",1,False
"  init  ",7,False
"  extraction  ",1,False
"  should_format_simple_date_format  ",1,False
"  diff  ",6,False
"  expectMessage  ",4,False
"  fieldValue  ",8,False
"  should_throw_exception_if_property_cannot_be_extracted_due_to_runtime_exception_during_property_access  ",1,False
"  extractedDescriptionOf  ",4,False
"  newArrayList  ",56,False
"  assertEqual  ",77,False
"  should_return_most_relevant  ",1,False
"  should_return_toString_of_Collection_of_arrays_up_to_the_maximum_allowed_elements  ",1,False
"  should_return_toString_of_Class_with_its_name  ",1,False
"  isNested  ",29,False
"  idExtractor  ",2,False
"  msgArgs  ",3,False
"  comparison  ",14,True
"  isLessThan  ",3,False
"  buildNavigableAssert  ",7,False
"  do_not_swallow_reflection_problem  ",1,False
"  randomText  ",1,False
"  isTrue  ",6,False
"  shouldBeBetween  ",1,False
"  setName  ",7,False
"  getFirst  ",2,False
"  checkObjectToExtractFromIsNotNull  ",4,False
"  should_throw_exception_when_given_name_is_null  ",1,False
"  isNestedProperty  ",17,False
"  sizeOf  ",13,False
"  should_return_toString_of_array_of_Class  ",1,False
"  should_prefer_properties_over_fields  ",1,False
"  should_return_parent_comparator  ",1,False
"  should_extract_field_values_even_if_property_does_not_exist  ",1,False
"  should_set_value  ",1,False
"  assertContains  ",1,False
"  setAge  ",7,False
"  getValueOf  ",15,False
"  should_create_tuple  ",1,False
"  nextNameFrom  ",7,False
"  should_return_null_if_object_is_null  ",1,False
"  singleLineFormat  ",24,False
"  equals  ",3,False
"  should_find_no_comparator  ",1,False
"  notNull  ",4,False
"  assertDoesNotContain  ",1,False
"  isNullOrEmpty  ",140,False
"  hasContent  ",1,False
"  getSimpleValue  ",15,False
"  getAllInterfaces  ",15,False
"  element  ",3,False
"  containsExactly  ",9,False
"  should_implement_toString  ",1,False
"  should_return_toString_of_File  ",1,False
"  should_allow_to_assert_navigated_elements  ",1,False
"  hasToString  ",2,False
"  should_quote_empty_String  ",1,False
"  newListAssertInstance  ",4,False
"  removeAssertJRelatedElementsFromStackTrace  ",4,False
"  value  ",15,False
"  failure  ",4,False
"  checkArgumentIsComparable  ",9,False
"  isNotEmpty  ",7,False
"  shouldBeEqual  ",3,False
"  actualAndExpectedHaveSameStringRepresentation  ",3,False
"  assertHasSameSizeAs  ",5,False
"  wrap  ",2,False
"  fallbackToStringOf  ",21,False
"  create  ",3,False
"  should_quote_String  ",1,False
"  formatArray  ",9,False
"  should_return_toString_of_Collection_of_arrays  ",1,False
"  getVehicles  ",7,False
"  isGreaterThan  ",12,False
"  none  ",28,False
"  format  ",44,False
"  isNull  ",2,False
"  element_navigating_failing_test_actual_not_equal_to_given  ",1,False
"  checkIsNotEmpty  ",1,False
"  last  ",2,False
"  assertNull  ",2,False
"  assertEmpty  ",1,False
"  instance  ",471,True
"  setAccessibleWorkaround  ",6,False
"  checkOtherIsNotNull  ",5,False
"  overridingErrorMessage  ",4,False
"  isEmpty  ",102,False
"  should_return_toString_of_Collection_of_Collections_up_to_the_maximum_allowed_elements  ",1,False
"  setLast  ",3,False
"  isObjectArray  ",9,False
"  should_return_toString_of_AtomicReference  ",1,False
"  should_throw_error_if_property_name_is_empty  ",1,False
"  toSortedMapIfPossible  ",1,False
"  description  ",29,False
"  expectMessageContaining  ",5,False
"  toString  ",25,False
"  should_create_error_message_with_custom_comparison_strategy  ",1,False
"  containsOnly  ",1,False
"  should_return_toString_of_AtomicIntegerFieldUpdater  ",1,False
