Name,TotalOccurrences,AlwaysUsed
"  getOutlinePaint  ",5,True
"  clearSeriesStrokes  ",15,True
"  isLeftOrRight  ",40,True
"  setOutlinePaint  ",21,True
"  mapDatasetToRangeAxes  ",15,True
"  getCeilingTickUnit  ",32,True
"  getLeft  ",25,True
"  setLineAlignment  ",5,True
"  getAutoRangeIncludesZero  ",90,True
"  getSeriesPaint  ",9,True
"  previous  ",34,True
"  getSeriesOutlineStroke  ",4,False
"  createLegendItemBlock  ",5,True
"  getSubtitle  ",15,True
"  setFont  ",15,True
"  mapDatasetToDomainAxis  ",15,True
"  createXYStepAreaChart  ",6,False
"  isVisible  ",20,True
"  set  ",10,True
"  getXValue  ",387,True
"  getRangeAxisCount  ",15,True
"  getTickLabelInsets  ",30,True
"  getBottom  ",15,True
"  generateLabel  ",5,True
"  shrink  ",10,True
"  getSeriesVisibilityChanged  ",44,True
"  applyToXYItemRenderer  ",15,True
"  getTickUnit  ",67,True
"  drawRotatedString  ",10,True
"  getIndexOf  ",26,True
"  isBorderVisible  ",5,True
"  getItemShapeFilled  ",2,False
"  findRangeAxisIndex  ",108,True
"  setDomainCrosshairVisible  ",6,False
"  createXYAreaChart  ",6,False
"  draw  ",130,True
"  getRangeAxisIndex  ",103,True
"  previousStandardDate  ",1,False
"  clone  ",75,True
"  integerise  ",5,True
"  setSeriesToolTipGenerator  ",5,True
"  arrangeNN  ",20,True
"  valueToString  ",44,True
"  isHalfAscent  ",10,True
"  access$0  ",5,True
"  getLabelPaint  ",5,True
"  setAutoRangeMinimumSize  ",6,False
"  getMaximumDate  ",1,False
"  setPaint  ",20,True
"  getBackgroundPaint  ",30,True
"  applyToAbstractRenderer  ",15,True
"  getRangeAxisLocation  ",5,True
"  getTextBounds  ",92,True
"  fireSeriesChanged  ",60,True
"  getLegendItemGraphicLocation  ",5,True
"  createStandardDateTickUnits  ",3,False
"  getDomainAxisCount  ",15,True
"  applyToXYPlot  ",15,True
"  createStandardTickUnits  ",27,True
"  setSeriesKey  ",5,True
"  getText  ",20,True
"  setStandardTickUnits  ",3,False
"  setShapeAnchor  ",5,True
"  calculateRightInset  ",215,True
"  getKey  ",126,True
"  apply  ",15,True
"  calculateBaselineOffset  ",20,True
"  setDomainGridlinePaint  ",15,True
"  removeChangeListener  ",5,True
"  iterateToFindRangeBounds  ",26,True
"  setShapeLocation  ",5,True
"  getTitle  ",15,True
"  calculateLeftOutset  ",85,True
"  getDefaultShadowsVisible  ",3,False
"  getStartXValue  ",30,False
"  lookupLegendTextPaint  ",5,True
"  getIntervalPositionFactor  ",33,False
"  trimBorder  ",30,True
"  lookupSeriesStroke  ",2,False
"  calculateRangeAxisSpace  ",5,True
"  trimToContentHeight  ",30,True
"  calculateAxisSpace  ",5,True
"  setTickLabelFont  ",30,True
"  getBounds  ",20,True
"  getLegendItemURLGenerator  ",5,True
"  getLegendItem  ",5,True
"  getRight  ",25,True
"  setStroke  ",2,False
"  setItemPaint  ",15,True
"  setGenerateEntities  ",10,True
"  lookupSeriesOutlinePaint  ",2,False
"  getMultiple  ",2,False
"  setShapeOutlineVisible  ",5,True
"  addItemBlock  ",5,True
"  arrangeRR  ",10,True
"  setOutlineStroke  ",6,True
"  getLowerDate  ",3,False
"  clearSeriesPaints  ",15,True
"  isSeriesVisibleInLegend  ",5,True
"  createChart  ",15,True
"  valueToJava2D  ",39,True
"  getLowerMargin  ",103,True
"  applyToTitle  ",15,True
"  getTickLabelFormat  ",20,True
"  intArray  ",50,True
"  setShape  ",3,False
"  createTranslatedShape  ",5,True
"  fireChartChanged  ",15,True
"  trim  ",120,True
"  lengthToJava2D  ",18,True
"  getGradientPaintTransformer  ",2,False
"  isShapeVisible  ",5,True
"  getHeightRange  ",15,True
"  extendWidth  ",75,True
"  setArrangement  ",5,True
"  setTickUnit  ",10,True
"  dateToString  ",4,False
"  getRangeAxisEdge  ",5,True
"  getMaxX  ",27,False
"  setBarPainter  ",3,False
"  getLength  ",110,True
"  createIntegerTickUnits  ",3,False
"  getYValue  ",156,True
"  getItemLineVisible  ",2,False
"  findMaximumTickLabelWidth  ",5,True
"  getSeriesCount  ",426,True
"  lookupLegendTextFont  ",5,True
"  setSeriesPaint  ",5,True
"  notifyListeners  ",1148,True
"  createDefaultPaintArray  ",5,True
"  setMargin  ",15,True
"  setDefaultItemLabelPaint  ",30,True
"  isBaseline  ",10,True
"  isTopOrBottom  ",84,True
"  getRange  ",212,True
"  datasetChanged  ",35,True
"  getItemShapeVisible  ",2,False
"  getLabelInsets  ",10,True
"  getDomainAxisForDataset  ",26,True
"  setShadowGenerator  ",15,True
"  setURLText  ",6,True
"  getMaxY  ",18,False
"  findRangeBounds  ",114,True
"  calculateTotalHeight  ",25,True
"  getWrapper  ",15,True
"  lookupSeriesShape  ",3,False
"  mapDatasetToRangeAxis  ",15,True
"  setRangeGridlinePaint  ",15,True
"  getNextStroke  ",2,False
"  setBackgroundPaint  ",60,True
"  resolveDomainAxisLocation  ",5,True
"  createOutsetRectangle  ",20,True
"  getRenderer  ",129,True
"  combine  ",103,True
"  calculateDomainAxisSpace  ",5,True
"  getMinX  ",27,False
"  extendHeight  ",75,True
"  getLowerBound  ",222,True
"  setFillPaintTransformer  ",6,True
"  calculateLeftInset  ",215,True
"  getRangeAxis  ",25,True
"  setDataset  ",15,True
"  getItemVisible  ",2,False
"  getUpperMargin  ",103,True
"  getSubtitleCount  ",30,True
"  getToolTipGenerator  ",5,True
"  lookupSeriesPaint  ",9,True
"  calculateLowestVisibleTickValue  ",10,True
"  testDrawWithNullInfo  ",5,True
"  equals  ",509,True
"  isVerticalCenter  ",10,True
"  getLegendTextPaint  ",5,True
"  getDomainAxisIndex  ",103,True
"  getMinY  ",18,False
"  getMinimumDate  ",1,False
"  getSize  ",2422,True
"  calculateOffsets  ",10,True
"  getBlocks  ",10,True
"  getPlot  ",214,True
"  addLine  ",20,True
"  trimToContentWidth  ",30,True
"  isAutoRange  ",145,True
"  applyToValueAxis  ",30,True
"  toTimelineValue  ",35,False
"  setAxisOffset  ",15,True
"  setItemFont  ",15,True
"  getDefaultBarPainter  ",3,False
"  setSeriesShape  ",3,False
"  addChangeListener  ",158,True
"  refreshTicksHorizontal  ",5,True
"  getLegendItems  ",5,True
"  getLabelFont  ",15,True
"  refreshTicks  ",10,True
"  plotChanged  ",331,True
"  getLinePaint  ",5,True
"  setDomainZeroBaselinePaint  ",15,True
"  getParent  ",163,True
"  getDatasetsMappedToDomainAxis  ",59,True
"  getLegendTextFont  ",5,True
"  getURLText  ",5,True
"  getIntervalWidth  ",60,False
"  getEndX  ",6,False
"  isTickLabelsVisible  ",10,True
"  getAutoRangeMinimumSize  ",103,True
"  getDateFormatOverride  ",2,False
"  getLegendShape  ",3,False
"  createItemArray  ",5,True
"  getLegendItemGraphicAnchor  ",5,True
"  drawHorizontal  ",5,True
"  isEmpty  ",5,True
"  getToolTipText  ",5,True
"  drawTitle  ",10,True
"  toString  ",378,False
