From,To,Overlap
AbstractAssert.java,ArrayWrapperList.java,0.23521505376344087
ArrayWrapperList.java,AbstractAssert.java,0.23521505376344087
AbstractAssert.java,DateUtil.java,0.1400189214758751
DateUtil.java,AbstractAssert.java,0.1400189214758751
AbstractAssert.java,ClassUtils.java,0.19838056680161945
ClassUtils.java,AbstractAssert.java,0.19838056680161945
AbstractAssert.java,FieldSupport.java,0.16762342135476463
FieldSupport.java,AbstractAssert.java,0.16762342135476463
AbstractAssert.java,FieldUtils.java,0.1295143212951432
FieldUtils.java,AbstractAssert.java,0.1295143212951432
AbstractAssert.java,Introspection.java,0.1383399209486166
Introspection.java,AbstractAssert.java,0.1383399209486166
AbstractAssert.java,MemberUtils.java,0.025991792065663474
MemberUtils.java,AbstractAssert.java,0.025991792065663474
AbstractAssert.java,PropertyOrFieldSupport.java,0.10875331564986737
PropertyOrFieldSupport.java,AbstractAssert.java,0.10875331564986737
AbstractAssert.java,PropertySupport.java,0.14514285714285713
PropertySupport.java,AbstractAssert.java,0.14514285714285713
AbstractAssert.java,IterableUtil.java,0.1928020565552699
IterableUtil.java,AbstractAssert.java,0.1928020565552699
AbstractAssert.java,Lists.java,0.13870541611624834
Lists.java,AbstractAssert.java,0.13870541611624834
AbstractAssert.java,Objects.java,0.17402597402597403
Objects.java,AbstractAssert.java,0.17402597402597403
AbstractAssert.java,Preconditions.java,0.17755856966707767
Preconditions.java,AbstractAssert.java,0.17755856966707767
AbstractAssert.java,Strings.java,0.1204954954954955
Strings.java,AbstractAssert.java,0.1204954954954955
AbstractAssert.java,Throwables.java,0.18835192069392812
Throwables.java,AbstractAssert.java,0.18835192069392812
AbstractAssert.java,Assertions_assertThat_with_Boolean_Test.java,0.10662824207492795
Assertions_assertThat_with_Boolean_Test.java,AbstractAssert.java,0.10662824207492795
AbstractAssert.java,Assertions_assertThat_with_Character_Test.java,0.10647482014388489
Assertions_assertThat_with_Character_Test.java,AbstractAssert.java,0.10647482014388489
AbstractAssert.java,Assertions_tuple_Test.java,0.1067251461988304
Assertions_tuple_Test.java,AbstractAssert.java,0.1067251461988304
AbstractAssert.java,TestCondition.java,0.16193181818181818
