MethodName,CallDepth,AlwaysUsed
257.checkArgument,26,false
258.getField,26,false
259.checkArgument,27,false
260.checkArgument,27,false
261.checkArgument,26,false
262.readField,26,false
263.readField,27,false
264.checkArgument,28,false
265.setAccessibleWorkaround,28,false
266.isPackageAccess,29,false
267.nextNameFrom,22,false
268.isNested,23,false
269.getValueOf,22,false
270.checkArgument,23,false
271.checkArgument,23,false
272.checkArgument,23,false
273.isNested,23,false
274.getSimpleValue,23,false
275.propertyValueOf,24,false
276.checkArgument,25,false
277.isNestedProperty,25,false
278.propertyValue,25,false
279.getPropertyGetter,26,false
280.checkNotNullOrEmpty,27,false
281.checkNotNullOrEmpty,28,false
282.checkNotNull,29,true
283.checkNotNull,27,true
284.findGetter,27,false
285.findMethod,28,false
286.getName,27,false
287.getFirst,28,false
288.getLast,28,false
289.getName,26,false
290.getFirst,27,false
291.getLast,27,false
292.assertThat,14,true
293.assertThat,15,true
294.instance,16,true
295.instance,16,true
296.lineSeparator,16,true
297.instance,16,true
298.comparison,16,true
299.instance,16,true
300.instance,16,true
301.instance,16,true
302.lineSeparator,16,true
303.get,16,true
304.representation,16,true
305.useRepresentation,16,true
306.checkNotNull,17,true
307.defaultTypeComparators,16,false
308.put,17,false
309.put,17,false
310.isEqualTo,14,false
311.assertEqual,15,false
312.areEqual,16,false
313.areEqual,17,false
314.areEqual,18,false
315.none,13,false
316.apply,13,false
317.should_throw_exception_if_property_cannot_be_extracted_due_to_runtime_exception_during_property_access,13,false
318.expectIntrospectionError,14,false
319.expect,15,false
320.adultExtractor,14,false
321.extract,14,false
322.checkArgument,15,false
323.checkArgument,15,false
324.checkArgument,15,false
325.getValueOf,15,false
326.checkArgument,16,false
327.checkArgument,16,false
328.checkArgument,16,false
329.isNested,16,false
330.getSimpleValue,16,false
331.propertyValueOf,17,false
332.checkArgument,18,false
333.isNestedProperty,18,false
334.propertyValue,18,false
335.getPropertyGetter,19,false
336.checkNotNullOrEmpty,20,false
337.checkNotNullOrEmpty,21,false
338.checkNotNull,22,true
339.checkNotNull,20,true
340.findGetter,20,false
341.findMethod,21,false
342.findMethod,21,false
343.isAdult,20,false
344.propertyNotFoundErrorMessage,21,false
345.quote,22,false
346.concat,23,false
347.isNullOrEmpty,24,false
348.isEmpty,25,false
349.findGetter,22,false
350.findMethod,23,false
351.findMethod,23,false
352.fieldValue,21,false
353.isNestedField,22,false
354.readSimpleField,22,false
355.readField,23,false
356.checkArgument,24,false
357.getField,24,false
358.checkArgument,25,false
359.checkArgument,25,false
360.getAllInterfaces,25,false
361.getAllInterfaces,26,false
362.checkArgument,24,false
363.toString,25,false
364.none,25,false
365.apply,25,false
366.should_throw_exception_when_given_name_is_empty,25,false
367.expectIllegalArgumentException,26,false
368.expect,27,false
369.expect,28,false
370.expectMessage,28,false
371.extract,26,false
372.checkArgument,27,false
373.checkArgument,27,false
374.none,28,false
375.apply,28,false
