org.jfree.chart.plot.DefaultDrawingSupplier  ,  intArray  ,  [double- double- double]  ,4
org.jfree.chart.plot.DefaultDrawingSupplier  ,  intArray  ,  [double- double- double]  ,4
org.jfree.chart.plot.DefaultDrawingSupplier  ,  intArray  ,  [double- double- double]  ,4
org.jfree.chart.plot.DefaultDrawingSupplier  ,  intArray  ,  [double- double- double]  ,4
org.jfree.chart.plot.DefaultDrawingSupplier  ,  intArray  ,  [double- double- double]  ,4
org.jfree.chart.plot.DefaultDrawingSupplier  ,  intArray  ,  [double- double- double]  ,4
org.jfree.chart.ChartFactory  ,  createXYStepAreaChart  ,  [class java.lang.String- class java.lang.String- class java.lang.String- interface org.jfree.data.xy.XYDataset]  ,3
org.jfree.chart.ChartFactory  ,  createXYStepAreaChart  ,  [class java.lang.String- class java.lang.String- class java.lang.String- interface org.jfree.data.xy.XYDataset- class org.jfree.chart.plot.PlotOrientation- boolean- boolean- boolean]  ,4
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.axis.NumberAxis  ,  createStandardTickUnits  ,  []  ,5
org.jfree.chart.axis.NumberAxis  ,  setAutoRangeIncludesZero  ,  [boolean]  ,5
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,6
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,6
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,7
org.jfree.chart.axis.Axis  ,  notifyListeners  ,  [class org.jfree.chart.event.AxisChangeEvent]  ,6
org.jfree.chart.axis.NumberAxis  ,  createStandardTickUnits  ,  []  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.chart.renderer.xy.AbstractXYItemRenderer  ,  setDefaultToolTipGenerator  ,  [interface org.jfree.chart.labels.XYToolTipGenerator]  ,5
org.jfree.chart.renderer.AbstractRenderer  ,  fireChangeEvent  ,  []  ,6
org.jfree.chart.renderer.AbstractRenderer  ,  notifyListeners  ,  [class org.jfree.chart.event.RendererChangeEvent]  ,7
org.jfree.chart.renderer.xy.AbstractXYItemRenderer  ,  setURLGenerator  ,  [interface org.jfree.chart.urls.XYURLGenerator]  ,5
