Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/condition/Negative.matches,(Ljava/lang/Object;)Z,17,2
org/assertj/core/condition/Negative.Negative,(Lorg/assertj/core/api/Condition;)V,14,1
