Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/internal/DeepDifference$Difference.DeepDifference$Difference,(Ljava/util/List;Ljava/lang/Object;Ljava/lang/Object;)V,24,1
org/assertj/core/internal/DeepDifference$Difference.getPath,()Ljava/util/List;,7,1
org/assertj/core/internal/DeepDifference$Difference.getActual,()Ljava/lang/Object;,7,1
org/assertj/core/internal/DeepDifference$Difference.getOther,()Ljava/lang/Object;,7,1
org/assertj/core/internal/DeepDifference$Difference.toString,()Ljava/lang/String;,25,1
