Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/ObjectAssertFactory.ObjectAssertFactory,()V,7,1
org/assertj/core/api/ObjectAssertFactory.createAssert,(Ljava/lang/Object;)Lorg/assertj/core/api/ObjectAssert;,9,1
org/assertj/core/api/ObjectAssertFactory.createAssert,(Ljava/lang/Object;)Ljava/lang/Object;,9,1
