Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/HamcrestCondition.HamcrestCondition,(Lorg/hamcrest/Matcher;)V,23,1
org/assertj/core/api/HamcrestCondition.matches,(Ljava/lang/Object;)Z,9,1
org/assertj/core/api/HamcrestCondition.describeMatcher,()Ljava/lang/String;,19,1
