Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/error/ShouldHaveOnlyElementsOfType.shouldHaveOnlyElementsOfType,(Ljava/lang/Object;Ljava/lang/Class;Ljava/lang/Class;)Lorg/assertj/core/error/ShouldHaveOnlyElementsOfType;,11,1
org/assertj/core/error/ShouldHaveOnlyElementsOfType.ShouldHaveOnlyElementsOfType,(Ljava/lang/Object;Ljava/lang/Class;Ljava/lang/Class;)V,24,1
