Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/error/ShouldBeExactlyInstanceOf.shouldBeExactlyInstance,(Ljava/lang/Object;Ljava/lang/Class;)Lorg/assertj/core/error/ErrorMessageFactory;,27,2
org/assertj/core/error/ShouldBeExactlyInstanceOf.ShouldBeExactlyInstanceOf,(Ljava/lang/Object;Ljava/lang/Class;)V,27,1
org/assertj/core/error/ShouldBeExactlyInstanceOf.ShouldBeExactlyInstanceOf,(Ljava/lang/Throwable;Ljava/lang/Class;)V,27,1
