Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/error/ShouldNotBeInstanceOfAny.shouldNotBeInstanceOfAny,(Ljava/lang/Object;[Ljava/lang/Class;)Lorg/assertj/core/error/ErrorMessageFactory;,27,2
org/assertj/core/error/ShouldNotBeInstanceOfAny.ShouldNotBeInstanceOfAny,(Ljava/lang/Object;[Ljava/lang/Class;)V,20,1
org/assertj/core/error/ShouldNotBeInstanceOfAny.ShouldNotBeInstanceOfAny,(Ljava/lang/Throwable;[Ljava/lang/Class;)V,21,1
