Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/error/future/ShouldNotBeCompletedExceptionally.shouldNotHaveCompletedExceptionally,(Ljava/util/concurrent/CompletableFuture;)Lorg/assertj/core/error/ErrorMessageFactory;,9,1
org/assertj/core/error/future/ShouldNotBeCompletedExceptionally.ShouldNotBeCompletedExceptionally,(Ljava/util/concurrent/CompletableFuture;)V,16,1
