Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/util/diff/DeleteDelta.DeleteDelta,(Lorg/assertj/core/util/diff/Chunk;Lorg/assertj/core/util/diff/Chunk;)V,11,1
org/assertj/core/util/diff/DeleteDelta.applyTo,(Ljava/util/List;)V,43,2
org/assertj/core/util/diff/DeleteDelta.getType,()Lorg/assertj/core/util/diff/Delta$TYPE;,6,1
org/assertj/core/util/diff/DeleteDelta.verify,(Ljava/util/List;)V,11,1
