Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/IterableSizeAssert.IterableSizeAssert,(Lorg/assertj/core/api/AbstractIterableAssert;Ljava/lang/Integer;)V,16,1
org/assertj/core/api/IterableSizeAssert.returnToIterable,()Lorg/assertj/core/api/AbstractIterableAssert;,7,1
